App Log v1.0
[19:24:08] INFO     | CORE: Starting TVTower, v0.8.2 Build "20.12.23 16:08".
[19:24:42] DBG      |                 : Generated programme producer "The Jerde Brothers" (id=63090) from "GR" with budget of 1875000 and an experience of 14/100. First production at 3/04:00 (06.03.1985).
[19:24:42] DBG      | TGAME: ====== START NEW GAME ======
[19:24:42] DBG      | PLAYMUSICORPLAYLIST: GetMusicStream from Playlist "default". Also set current playlist to it.
[19:24:42] DBG      | TGAME: Starting all sports (and their leagues) -1 year before now.
[19:24:42] DBG      |      : Refreshing production/cinema states of programmes (refreshing cast-information)
[19:24:42] DBG      |      : Ensure enough castable amateurs exist.
[19:24:42] DBG      | GAMEEVENTS.ONDAY: begin of day 1 (real day: 23820)
[19:24:42] DBG      | TAWARDCOLLECTION.GENERATEUPCOMINGAWARD(): Generated "upcoming" award: type=news [1]   timeframe=2/00:00 (01.02.1985)  -  2/23:59 (30.02.1985)  now=1/00:00 (01.01.1985)
[19:24:42] DBG      | TSCREENHANDLER_PROGRAMMEPLANNER.INITPROGRAMMEPLANNERBACKGROUND(): Converted "screen_bg_programmeplanner" color space to RGB.
[19:24:52] DBG      | NEWSAGENCY: Nobody listens to genre 0. Would skip news, but am forced to add: "Tanks quieter in peacekeeping operations".
[19:24:52] DBG      |           : Reset NextEventTime for genre 0 to 1/14:18 (18.01.1985). DOUBLE TIME.
[19:25:44] DBG      |           : Added news: "Deutsche Bahn laments damage in the millions" for 1/00:31 (01.01.1985).
[19:25:44] DBG      |           : Reset NextEventTime for genre 5 to 1/15:11 (19.01.1985). DOUBLE TIME.
[19:25:46] DBG      | TFINANCIAL.PAYPROGRAMMELICENCE(): Player 1 paid 33000 for a programmeLicence
[19:26:16] DBG      | TFINANCIAL.PAYNEWS(): Player 2 paid 100 for a news
[19:26:16] DBG      |                     : Player 2 paid 2250 for a news
[19:26:22] DBG      | TFINANCIAL.PAYPROGRAMMELICENCE(): Player 1 paid 17000 for a programmeLicence
[19:26:26] DBG      | TFINANCIAL.PAYNEWS(): Player 3 paid 100 for a news
[19:26:26] DBG      |                     : Player 3 paid 2250 for a news
[19:26:27] DBG      | TFINANCIAL.PAYPROGRAMMELICENCE(): Player 4 paid 28000 for a programmeLicence
[19:26:27] DBG      |                                 : Player 4 paid 28000 for a programmeLicence
[19:26:27] DBG      |                                 : Player 4 paid 29000 for a programmeLicence
[19:26:27] DBG      |                                 : Player 4 paid 32000 for a programmeLicence
[19:26:32] DBG      | NEWSAGENCY: Added news: "Aliens Go Green" for 1/00:55 (02.01.1985).
[19:26:32] DBG      |           : Reset NextEventTime for genre 4 to 1/07:31 (10.01.1985).
[19:26:32] DBG      | TFINANCIAL.EARNADPROFIT(): Player 2 earned 16000 with ads
[19:26:32] DBG      |                          : Player 4 earned 16000 with ads
[19:26:32] DBG      |                          : Player 3 earned 16000 with ads
[19:26:32] DBG      |                          : Player 1 earned 16000 with ads
[19:26:36] DBG      | DIALOGUES: Open Escape-Menu via ESC key hit.
[19:26:40] DBG      |          : User hit [x], create Exit-dialogue.
[19:26:40] DBG      |          : Closing Escape-Menu, continuing game.
[19:26:42] DBG      | TAIBASE: Stopping AI 2
[19:26:42] DBG      |        : Removed AI 2 Update Thread
[19:26:42] DBG      |        : Stopping AI 3
[19:26:42] DBG      |        : Removed AI 3 Update Thread
[19:26:42] DBG      |        : Stopping AI 4
[19:26:42] DBG      |        : Removed AI 4 Update Thread
